Var1	Var2	Var3
60.5539782926116	87.4210700510733	43.9587883454758
60.3416619638587	87.6122130380491	43.7710495890084
60.1433417183361	87.2367426876453	42.8881349487478
60.1665764375145	87.683636264193	43.4569733361127
59.7781211257973	87.9257960481489	43.9742863599303
60.4849613738377	87.1216363694244	43.5301693984539
61.2109819971541	88.2016239332346	43.617522595522
60.1950883089397	86.6725832129321	44.3230506557199
60.2008308688775	87.8957654272327	43.8170580557022
59.7563485909527	88.4148958195743	44.3870125933127
60.8230704352515	88.1847953797757	43.6655317452755
59.4952783195676	87.2981767180014	43.6557506669763
60.0218769223135	87.7749249137248	43.1195478472262
59.8205036912929	88.2165566976173	43.3809433812382
60.5706293672072	87.5276888728547	43.808664000021
60.8224039799891	87.1286820523369	43.7651043497397
60.4809334151742	86.8433638512635	43.6900826349885
60.2883190990456	87.7617553860166	43.4169675872609
59.8012028778492	87.4281487968807	43.4284390910554
60.9531390475026	86.2321091642103	43.2755669915738
59.9138706049751	87.7215793080983	43.5808468392729
60.6423088507462	87.3330227116201	43.4992814433887
60.560224712632	87.928395387707	42.8759520440424
59.7133474839569	86.1359746852975	43.8529512744071
60.0848999595266	86.720424308873	43.4094713650543
60.0371758672641	87.8141808527409	44.3500552467833
60.8340567851194	86.9976250893109	43.3304943681411
59.5712573701254	87.9319456455424	44.3760885060815
60.326368692558	87.253417122198	43.5016924799615
59.9957605410302	87.9406192661817	43.2782388684496
60.193592849813	88.2945044679619	44.0827624418886
60.5173447163798	87.1762980964409	43.3855284268001
60.5793280838112	87.9010728504168	43.212441438224
60.9247755657429	87.6046610391583	44.0368465536512
60.7084489749059	87.0521876218185	44.058426296795
60.4945134405145	87.8314109574644	42.8750546214613
60.1670475985684	87.6072250577668	43.4625585539299
60.271374861761	87.1416011282815	44.0431419828621
59.935847047014	86.6855562033041	44.8402612892552
60.4680652739133	86.8473342461312	43.1860924373665
59.8808142108068	86.8857864095397	43.2320275664033
60.5212395413723	87.0936370202608	42.8594779514844
60.6035510781153	87.697508919356	43.029368945294
61.0232969237776	87.7030730467427	42.9824587839793
60.2538658776732	88.0299799447444	43.7546151293799
60.5346721496837	87.2652971263335	43.3287039227578
60.5770744911679	87.8777480343821	42.856599664983
60.4935200673835	87.8335006266756	43.9408594804818
60.7722950741959	87.1332609416764	44.5754882473279
59.6794048473949	87.8260144703613	44.2267420415562
60.4949121112868	86.1882708289853	43.1723235512331
60.0860439559378	87.6314904201811	45.1547219447993
60.3434230227478	87.1893999623658	43.9934878794479
60.2833958695346	86.9819835644011	43.7206087168865
59.7939996972945	87.2971931022519	43.8025481264625
59.4122802172551	87.4710008209018	43.678506745355
68.3108769340312	95.1379485315025	52.3769585439319
75.7966673126494	102.072603701793	60.6378972501513
83.5147191290356	109.135520672729	68.1596271346012
90.7881049854579	115.585231061744	76.6228675190844
98.5290090491197	120.801137398286	83.3790489620102
104.71107188167	127.326180606479	91.2552728692775
111.960434568833	133.586751923166	99.4220200979481
117.563478886454	138.550860046426	105.988709487098
109.278041123799	130.23371251795	95.2260803290636
100.935154948702	123.982876243284	87.1482224550132
94.1142869298109	117.414596103868	79.6179139936625
88.1207860298663	112.244953421182	73.0319349797952
83.6621875096123	108.55793472022	67.8893168281096
79.8837465581437	105.579197232923	63.2464568553635
76.4636070295134	102.32854824982	60.4449293504804
73.7184082729259	98.9889445772604	58.027294942803
71.6638411419313	98.2048272371602	55.8437322464098
69.742425112729	95.8562511937871	53.5688138033069
68.5833030118637	94.5184625680988	51.8324204688921
67.1326230960754	93.117814899304	50.704897448649
65.6498747951099	92.2958392540678	50.0484837608846
64.8809372901779	91.5574657812032	49.0671162785803
63.3023550384772	90.8158596140787	47.4512545570432
63.3751172138148	90.835008960983	47.0728878931264
62.6382027568618	89.5027557653887	47.0302744950618
62.491696538036	88.8763331296946	46.7852780668551
61.8602543296533	89.7084330483318	45.9404041770127
61.2424928424517	88.533282381495	44.9631234948622
62.3121924960683	88.6433391841245	44.6016365376716
60.8206070256057	89.4861590522986	44.3273663582145
60.6633206980604	87.6302481895551	44.4096990948873
61.0574913344739	87.9182052683575	44.0305459553568
61.7416503428374	89.1742680912881	44.767191172822
61.184697044009	88.3131578797792	44.452006747711
60.9703801278191	87.331080496446	44.1722259288072
61.198246230181	88.5230739777857	43.7430008320994
61.0849342140135	88.3955531665411	44.3147172615154
60.3763615283698	89.2484887448051	44.4237816825252
60.1545954879411	88.017883797013	43.8799512989705
61.8594131296486	87.1822847321392	43.4323090159615
60.669918621589	87.3583640534926	43.7508980407188
60.0714594090026	87.9296746252626	43.6216644239474
